id,title,url,filename,item_code,base_code,item_code_family,category,section,language,topics,year,bytes,size_human,last_modified,source_page,source_title,source_count,host,status
1462,Box 459 - Es hora de hacer la rotación en la G.S.O.,https://www.aa.org/sites/default/files/newsletters/sp_box459_aug-sept99.pdf,sp_box459_aug-sept99.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,2104947,2.0 MB,2021-07-16,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1463,Box 459 - Escogido el Lugar para la Conferencia Internacional de 1980,https://www.aa.org/sites/default/files/newsletters/sp_box459_june-july76.pdf,sp_box459_june-july76.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,1980,825509,806.2 KB,2021-07-19,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1464,Box 459 - Esperando que Hayan Disfrutado de una Feliz Nochebuena...,https://www.aa.org/sites/default/files/newsletters/sp_box459_feb65.pdf,sp_box459_feb65.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,626008,611.3 KB,2021-09-02,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1465,"Box 459 - Estudio de A.A. Hecho en 1974, Paso Doce en Forma Masiva, Comprueba que ""A.A. Funciona""",https://www.aa.org/sites/default/files/newsletters/sp_box459_feb-mar75.pdf,sp_box459_feb-mar75.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter; Form / Application,1974,924739,903.1 KB,2021-07-16,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1466,Box 459 - Exitoso Resultado de la Segunda Reunión Ibero-Americana de Servicios de A.A.,https://www.aa.org/sites/default/files/newsletters/sp_box459_oct-nov81.pdf,sp_box459_oct-nov81.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,943610,921.5 KB,2021-07-19,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1467,Box 459 - Faisons-noulse ménage après les réunions ?,https://www.aa.org/sites/default/files/newsletters/fr_box459_feb-mar01.pdf,fr_box459_feb-mar01.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,,1125255,1.1 MB,2021-07-20,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1468,Box 459 - Fall 2018 - To Be Young... and Sober,https://www.aa.org/sites/default/files/newsletters/en_box459_fall18.pdf,en_box459_fall18.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Young People; Newsletter; Sobriety,2018,1643859,1.6 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1469,Box 459 - Father Ed Dowling — Bill W.'s Confidant…,https://www.aa.org/sites/default/files/newsletters/en_box459_aug-sept06.pdf,en_box459_aug-sept06.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,2486643,2.4 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1470,Box 459 - First-ever Special Online Forum for Deaf Alcoholics Responds to Expressed Need in the Fellowship,https://www.aa.org/sites/default/files/newsletters/F-36_spring2026_1.pdf,F-36_spring2026_1.pdf,F-36,F-36,"Forms, Catalogs & Order Blanks",Newsletter: Box 4-5-9,Newsletters,English,Accessibility; Public Information; Regional Forum; Newsletter,2026,2675680,2.6 MB,2026-07-30,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1471,Box 459 - Five Regions to Nominate Board Members,https://www.aa.org/sites/default/files/newsletters/en_box459_aug-sept66.pdf,en_box459_aug-sept66.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,1546904,1.5 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1472,Box 459 - For G.S.R.s - A New Information Sheet is Now Available…,https://www.aa.org/sites/default/files/newsletters/en_box459_mar60.pdf,en_box459_mar60.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter; Form / Application,,2685130,2.6 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1473,Box 459 - Formulario de encuesta para 1992 cambia de apariencia,https://www.aa.org/sites/default/files/newsletters/sp_box459_feb-mar92.pdf,sp_box459_feb-mar92.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter; Form / Application,1992,2203663,2.1 MB,2021-07-16,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1474,Box 459 - Four 'Service Principles' Suggested,https://www.aa.org/sites/default/files/newsletters/en_box459_june56.pdf,en_box459_june56.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,676230,660.4 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1475,Box 459 - Frank Gulden - A Great Friend,https://www.aa.org/sites/default/files/newsletters/en_box459_feb-mar61.pdf,en_box459_feb-mar61.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,306,306 B,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1476,Box 459 - Future of A.A. Glimpsed at Conference,https://www.aa.org/sites/default/files/newsletters/en_box459_aug-sept68.pdf,en_box459_aug-sept68.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Conference; Newsletter,,678764,662.9 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1477,Box 459 - G.S.O. Offers 'Literature Packages',https://www.aa.org/sites/default/files/newsletters/en_box459_july58.pdf,en_box459_july58.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,922594,901.0 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1478,Box 459 - G.S.O.'s Evolving Web Site Undergoes Another Overhaul,https://www.aa.org/sites/default/files/newsletters/en_box459_april-may06.pdf,en_box459_april-may06.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,492379,480.8 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1479,Box 459 - Gigantyesco Paso Hacia Adelante para A.A. en Iberoamérica,https://www.aa.org/sites/default/files/newsletters/sp_box459_feb-mar80.pdf,sp_box459_feb-mar80.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,430482,420.4 KB,2021-07-16,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1480,Box 459 - Grandes Cosas se Cuecen Dentro y Fuera de A.A.,https://www.aa.org/sites/default/files/newsletters/sp_box459_feb-mar73.pdf,sp_box459_feb-mar73.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,546310,533.5 KB,2021-07-16,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1481,Box 459 - Gratitud - desde las Repúblicas Rusas,https://www.aa.org/sites/default/files/newsletters/sp_box459_oct-nov95.pdf,sp_box459_oct-nov95.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,2403283,2.3 MB,2021-07-19,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1482,Box 459 - Gratitude Makes Waves in the Caribbean,https://www.aa.org/sites/default/files/newsletters/en_box459_april-may96.pdf,en_box459_april-may96.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,3367031,3.2 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1483,Box 459 - Gratitude Month and the Birthday Plan,https://www.aa.org/sites/default/files/newsletters/en_box459_fall16.pdf,en_box459_fall16.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,932367,910.5 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1484,Box 459 - Gratitude Month Can Last All Year Long,https://www.aa.org/sites/default/files/newsletters/en_box459_oct-nov96.pdf,en_box459_oct-nov96.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,3307407,3.2 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1485,Box 459 - Gratitude Month- Our Chance to Say 'Thank You!',https://www.aa.org/sites/default/files/newsletters/en_box459_oct-nov00.pdf,en_box459_oct-nov00.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,2140497,2.0 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1486,Box 459 - Gratitude — from the Russian Republics,https://www.aa.org/sites/default/files/newsletters/en_box459_oct-nov95.pdf,en_box459_oct-nov95.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,3089004,2.9 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1487,"Box 459 - Gratitude, Responsibility Shape Conference Actions",https://www.aa.org/sites/default/files/newsletters/en_box459_june-july73.pdf,en_box459_june-july73.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Conference; Newsletter,,926364,904.7 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1488,Box 459 - Group Conscience at Work,https://www.aa.org/sites/default/files/newsletters/en_box459_june-july67.pdf,en_box459_june-july67.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,865808,845.5 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1489,Box 459 - Group Conscience Guides A.A.,https://www.aa.org/sites/default/files/newsletters/en_box459_conference69.pdf,en_box459_conference69.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Conference; Newsletter; Workbook / Kit,,796022,777.4 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1490,Box 459 - Group Displays of Books Surveyed,https://www.aa.org/sites/default/files/newsletters/en_box459_mar57.pdf,en_box459_mar57.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Survey Data; Newsletter,,684387,668.3 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1491,Box 459 - Groups Asked to Conduct Census,https://www.aa.org/sites/default/files/newsletters/en_box459_aug58.pdf,en_box459_aug58.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,979763,956.8 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1492,Box 459 - Groups Respond to Birthday Plan in Many Areas,https://www.aa.org/sites/default/files/newsletters/en_box459_july56.pdf,en_box459_july56.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,685158,669.1 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1493,Box 459 - Groups Scan Trustee Ratio Change,https://www.aa.org/sites/default/files/newsletters/en_box459_dec58.pdf,en_box459_dec58.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,1524763,1.5 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1494,Box 459 - Growing Need for A.A. Services,https://www.aa.org/sites/default/files/newsletters/en_box459_june-july70.pdf,en_box459_june-july70.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,1400337,1.3 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1495,"Box 459 - Growth, Progress Noted Overseas",https://www.aa.org/sites/default/files/newsletters/en_box459_feb57.pdf,en_box459_feb57.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,772256,754.2 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1496,Box 459 - Grupos Hispanos en Estados Unidos/Canada,https://www.aa.org/sites/default/files/newsletters/sp_box459_feb-mar78.pdf,sp_box459_feb-mar78.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,917640,896.1 KB,2021-07-16,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1497,Box 459 - GSO Welcomes Two New Staff Members,https://www.aa.org/sites/default/files/newsletters/f-36_winter2023_0.pdf,f-36_winter2023_0.pdf,F-36,F-36,"Forms, Catalogs & Order Blanks",Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2023,1514053,1.4 MB,2024-04-04,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1498,Box 459 - HAAM Radio Carries Fellowship and Warmth 'Over the AAirwaves',https://www.aa.org/sites/default/files/newsletters/en_box459_oct-nov92.pdf,en_box459_oct-nov92.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,3381429,3.2 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1499,Box 459 - Hace Algun Bien el Trabajo de Información Pública?,https://www.aa.org/sites/default/files/newsletters/sp_box459_feb-mar71.pdf,sp_box459_feb-mar71.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter; Form / Application,,2700311,2.6 MB,2021-07-20,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1500,Box 459 - Hacer A.A. accesible para el alcohólico con necesidades especiales,https://www.aa.org/sites/default/files/newsletters/sp_box459_oct-nov91.pdf,sp_box459_oct-nov91.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,1384969,1.3 MB,2021-07-19,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1501,Box 459 - Haciendo camino para el futuro: La renovación...,https://www.aa.org/sites/default/files/newsletters/sp_box459_spring10_0.pdf,sp_box459_spring10_0.pdf,,,,Newsletter: Box 4-5-9,Newsletters,Spanish,Newsletter,,1249189,1.2 MB,2021-07-19,https://www.aa.org/es/box-459,Box 459,1,www.aa.org,ok
1502,Box 459 - Has Your Group Looked in the Mirror Lately?,https://www.aa.org/sites/default/files/newsletters/en_box459_april-may08.pdf,en_box459_april-may08.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,245762,240.0 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1503,Box 459 - Have You Thought About Anonymity Lately?,https://www.aa.org/sites/default/files/newsletters/en_box459_aug-sept88.pdf,en_box459_aug-sept88.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Anonymity; Newsletter,,1974987,1.9 MB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1504,Box 459 - Hazel R. Dies at Home After Surgery,https://www.aa.org/sites/default/files/newsletters/en_box459_oct-nov71.pdf,en_box459_oct-nov71.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,815739,796.6 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1505,Box 459 - Historic Meeting Place,https://www.aa.org/sites/default/files/newsletters/en_box459_may61.pdf,en_box459_may61.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,,462661,451.8 KB,2021-07-14,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1506,Box 459 - Hiver 2009,https://www.aa.org/sites/default/files/newsletters/fr_box459_holiday09.pdf,fr_box459_holiday09.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,2009,314275,306.9 KB,2021-07-20,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1507,Box 459 - Hiver 2010,https://www.aa.org/sites/default/files/newsletters/fr_box459_winter10.pdf,fr_box459_winter10.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,2010,1175735,1.1 MB,2021-07-19,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1508,Box 459 - Hiver 2011,https://www.aa.org/sites/default/files/newsletters/fr_box459_winter11_1.pdf,fr_box459_winter11_1.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,2011,1393804,1.3 MB,2021-07-19,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1509,Box 459 - Hiver 2013,https://www.aa.org/sites/default/files/newsletters/fr_box459_holiday13.pdf,fr_box459_holiday13.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,2013,934136,912.2 KB,2021-07-20,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1510,Box 459 - Hiver 2014,https://www.aa.org/sites/default/files/newsletters/fr_box459_holiday14.pdf,fr_box459_holiday14.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,2014,1580572,1.5 MB,2021-07-20,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1511,Box 459 - Hiver 2015,https://www.aa.org/sites/default/files/newsletters/fr_box459_holiday15.pdf,fr_box459_holiday15.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,2015,1167555,1.1 MB,2021-09-01,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1512,Box 459 - Hiver 2016,https://www.aa.org/sites/default/files/newsletters/fr_box459_holiday16.pdf,fr_box459_holiday16.pdf,,,,Newsletter: Box 4-5-9,Newsletters,French,Newsletter,2016,1418137,1.4 MB,2021-07-20,https://www.aa.org/fr/box-459,Box 459,1,www.aa.org,ok
1513,Box 459 - Holiday Issue 1971,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday71.pdf,en_box459_holiday71.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1971,595415,581.5 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1514,Box 459 - Holiday Issue 1972,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday72.pdf,en_box459_holiday72.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1972,655973,640.6 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1515,Box 459 - Holiday Issue 1973,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday73.pdf,en_box459_holiday73.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1973,690217,674.0 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1516,Box 459 - Holiday Issue 1974,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday74.pdf,en_box459_holiday74.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1974,1175252,1.1 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1517,Box 459 - Holiday Issue 1975,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday75.pdf,en_box459_holiday75.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1975,1205984,1.2 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1518,Box 459 - Holiday Issue 1976,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday76.pdf,en_box459_holiday76.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1976,1231010,1.2 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1519,Box 459 - Holiday Issue 1977,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday77.pdf,en_box459_holiday77.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1977,1216295,1.2 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1520,Box 459 - Holiday Issue 1978,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday78.pdf,en_box459_holiday78.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1978,1311585,1.3 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1521,Box 459 - Holiday Issue 1979,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday79.pdf,en_box459_holiday79.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1979,1491558,1.4 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1522,Box 459 - Holiday Issue 1980,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday80.pdf,en_box459_holiday80.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1980,1400505,1.3 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1523,Box 459 - Holiday Issue 1981,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday81.pdf,en_box459_holiday81.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1981,869493,849.1 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1524,Box 459 - Holiday Issue 1982,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday82.pdf,en_box459_holiday82.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1982,1440098,1.4 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1525,Box 459 - Holiday Issue 1983,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday83.pdf,en_box459_holiday83.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1983,886121,865.4 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1526,Box 459 - Holiday Issue 1984,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday84.pdf,en_box459_holiday84.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1984,1281081,1.2 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1527,Box 459 - Holiday Issue 1985,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday85.pdf,en_box459_holiday85.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1985,1977470,1.9 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1528,Box 459 - Holiday Issue 1986,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday86.pdf,en_box459_holiday86.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1986,1913950,1.8 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1529,Box 459 - Holiday Issue 1987,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday87.pdf,en_box459_holiday87.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1987,2142990,2.0 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1530,Box 459 - Holiday Issue 1988,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday88.pdf,en_box459_holiday88.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1988,1939785,1.8 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1531,Box 459 - Holiday Issue 1989,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday89.pdf,en_box459_holiday89.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1989,1967727,1.9 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1532,Box 459 - Holiday Issue 1990,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday90.pdf,en_box459_holiday90.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1990,2968953,2.8 MB,2021-07-15,https://www.aa.org/box-459,Box 459,2,www.aa.org,ok
1533,Box 459 - Holiday Issue 1991,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday91.pdf,en_box459_holiday91.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1991,2134696,2.0 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1534,Box 459 - Holiday Issue 1992,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday92.pdf,en_box459_holiday92.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1992,3515935,3.4 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1535,Box 459 - Holiday Issue 1993,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday93.pdf,en_box459_holiday93.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1993,3006692,2.9 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1536,Box 459 - Holiday Issue 1994,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday94.pdf,en_box459_holiday94.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1994,2240350,2.1 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1537,Box 459 - Holiday Issue 1995,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday95.pdf,en_box459_holiday95.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1995,3405945,3.2 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1538,Box 459 - Holiday Issue 1996,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday96.pdf,en_box459_holiday96.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1996,2590350,2.5 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1539,Box 459 - Holiday Issue 1997,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday97.pdf,en_box459_holiday97.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1997,3023222,2.9 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1540,Box 459 - Holiday Issue 1998,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday98.pdf,en_box459_holiday98.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1998,1888588,1.8 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1541,Box 459 - Holiday Issue 1999,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday99.pdf,en_box459_holiday99.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,1999,2540628,2.4 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1542,Box 459 - Holiday Issue 2000,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday00.pdf,en_box459_holiday00.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2000,2088374,2.0 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1543,Box 459 - Holiday Issue 2001,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday01.pdf,en_box459_holiday01.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2001,1283236,1.2 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1544,Box 459 - Holiday Issue 2002,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday02.pdf,en_box459_holiday02.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2002,316329,308.9 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1545,Box 459 - Holiday Issue 2003,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday03.pdf,en_box459_holiday03.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2003,645876,630.7 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1546,Box 459 - Holiday Issue 2004,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday04.pdf,en_box459_holiday04.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2004,5346469,5.1 MB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1547,Box 459 - Holiday Issue 2005,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday05-06_0.pdf,en_box459_holiday05-06_0.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2005,456968,446.3 KB,2021-07-16,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
1548,Box 459 - Holiday Issue 2006,https://www.aa.org/sites/default/files/newsletters/en_box459_holiday06.pdf,en_box459_holiday06.pdf,,,,Newsletter: Box 4-5-9,Newsletters,English,Newsletter,2006,369605,360.9 KB,2021-07-15,https://www.aa.org/box-459,Box 459,1,www.aa.org,ok
